	HvsL	HvsL	HvsL	HvsL	HvsL
DNAH8	P2	0.609938145	-0.063354836	5	5
DNAH9	P1P2	0.745389981	0.048737837	5	5
DNAI1	P1P2	0.451963524	-0.166545938	5	5
DNAI2	P1P2	0.322188008	0.041392218	5	5
DNAJA1	P1	0.093899585	-0.106651704	5	5
DNAJA2	P1P2	0.011486961	-0.330199805	5	5
DNAJA3	P1P2	0.945305107	-0.133563816	5	5
DNAJA4	P1P2	0.607028595	0.068172952	5	5
DNAJB1	P1P2	0.689477426	-0.035118086	5	5
DNAJB11	P1P2	0.93934933	-0.114083263	5	5
DNAJB12	P1P2	0.25582013	-0.155363679	5	5
DNAJB13	P1P2	0.738476799	0.033212642	5	5
DNAJB14	P1P2	0.377847734	-0.077070715	5	5
DNAJB2	P1P2	0.530389438	0.00812777	5	5
DNAJB4	P1P2	0.033099753	0.379157265	5	5
DNAJB5	P2	0.19412239	-0.275922887	5	5
DNAJB6	P1P2	0.945967054	-0.113471603	5	5
DNAJB7	P1P2	0.457482642	-0.099389571	5	5
DNAJB8	P1P2	0.863659992	-0.016622615	5	5
DNAJB9	P1P2	0.105885308	-0.233128485	5	5
DNAJC1	P1P2	0.193551867	0.150393874	5	5
DNAJC10	P1P2	0.701769332	-0.052198034	5	5
DNAJC11	P1P2	0.385540879	0.120967174	5	5
DNAJC12	P1P2	0.088639565	-0.26056765	5	5
DNAJC13	P1P2	0.688864944	0.019734792	5	5
DNAJC14	P1P2	0.254084776	-0.178424164	5	5
DNAJC15	P1P2	0.153712437	-0.214232151	5	5
DNAJC16	P1P2	0.532025558	-0.069792138	5	5
DNAJC17	P1P2	0.009485273	0.832397162	5	5
DNAJC18	P1P2	0.989052783	0.008185783	5	5
DNAJC19	P1P2	0.016871957	0.562268621	5	5
DNAJC2	P1P2	0.017971609	0.606603037	5	5
DNAJC21	P1P2	0.13069691	-0.216132237	5	5
DNAJC22	P1P2	0.590851009	0.047583364	5	5
DNAJC24	P1P2	0.000714298	0.594301797	5	5
DNAJC25	P1P2	0.709182356	0.045006883	5	5
DNAJC25-GNG10	P1P2	0.709182356	0.045006883	5	5
DNAJC27	P1P2	0.219210877	0.177616485	5	5
DNAJC28	P1P2	0.128383715	-0.262455359	5	5
DNAJC3	P1P2	0.967166592	0.068219202	5	5
DNAJC30	P1P2	0.005361413	0.357887728	5	5
DNAJC4	P1P2	0.564713226	-0.096542118	5	5
DNAJC5	P1P2	0.020815207	0.239440462	5	5
DNAJC5B	P2	0.048037933	-0.286041796	5	5
DNAJC5G	P1P2	0.22392559	-0.196509034	5	5
DNAJC6	P1P2	0.717865774	-0.016038818	5	5
DNAJC7	P1P2	0.005347681	0.525216202	5	5
DNAJC8	P1P2	0.102517994	0.247613767	5	5
DNAJC9	P1P2	0.744760652	-0.032110678	5	5
DNAL1	P1P2	0.82785548	0.064985226	5	5
DNAL4	P2	0.530389438	0.182998812	5	5
DNALI1	P1P2	0.789842748	-0.090001912	5	5
DNASE1	P1P2	0.017453481	-0.244319	5	5
DNASE1L1	P2	0.197571466	0.309905147	5	5
DNASE1L2	P1P2	0.575441703	-0.050235035	5	5
DNASE1L3	P1P2	0.81040397	-0.105363787	5	5
DNASE2	P1P2	0.775153337	-0.104048014	5	5
DNASE2B	P1P2	0.07700888	0.222947433	5	5
DND1	P1P2	0.085720453	-0.235231855	5	5
DNER	P1P2	0.70423723	-0.063451996	5	5
DNHD1	P1P2	0.539144828	0.0828956	5	5
DNLZ	P1P2	0.984409013	-0.092837131	5	5
DNM1	P1P2	0.910946503	-0.137606546	5	5
DNM1L	P1P2	0.00189984	0.390200405	5	5
DNM2	P1P2	0.381003977	0.271293909	5	5
DNM3	P1P2	0.644727047	0.045755245	5	5
DNMBP	P1P2	0.938687781	0.048904429	5	5
DNMT1	P1P2	0.077426623	-0.558070923	5	5
DNMT3A	ENST00000402667.1	0.138715412	-0.224023394	5	5
DNMT3B	P1	0.238172415	0.257543231	5	5
DNMT3L	P1P2	0.574874653	-0.11338538	5	5
DNPEP	P1P2	0.322188008	0.175094018	5	5
DNPH1	P1P2	0.676658594	-0.129908845	5	5
DNTT	P1P2	0.007314078	-0.640455548	5	5
DNTTIP1	P1P2	0.03660659	-0.235896271	5	5
DNTTIP2	P1P2	0.053036554	1.327792819	5	5
DOC2A	P2	0.143432101	-0.257160947	5	5
DOC2B	P1P2	0.759277517	-0.062218312	5	5
DOCK1	P1P2	0.069542567	-0.291194781	5	5
DOCK10	P1P2	0.500853512	-0.146364714	5	5
DOCK11	P1P2	0.084965318	-0.470332748	5	5
DOCK2	P1P2	0.248586765	0.090757968	5	5
DOCK3	P1P2	0.433678045	-0.121878791	5	5
DOCK4	P1P2	0.013695279	-0.282623484	5	5
DOCK5	P1P2	0.514169977	0.146976301	5	5
DOCK6	P1P2	0.274356498	-0.159017816	5	5
DOCK7	P1P2	0.685194347	-0.059334213	5	5
DOCK8	P1P2	0.506690145	-0.021455182	5	5
DOCK9	P1P2	0.832394226	-0.027454351	5	5
DOHH	P1P2	0.00950824	0.310683942	5	5
DOK1	P1P2	0.586837814	-0.088006109	5	5
DOK2	P1P2	0.929430735	-0.046569622	5	5
DOK3	P1P2	0.886488406	-0.300336769	4	4
DOK4	P1	0.138937273	-0.184518142	5	5
DOK5	P1P2	0.554081915	-0.196324771	5	5
DOK6	P1P2	0.149676003	-0.274999123	5	5
DOK7	P1P2	0.281319546	-0.16508821	4	4
DOLK	P1P2	0.772606688	-0.018245423	5	5
DOLPP1	P1P2	0.084514826	-0.235311628	5	5
DONSON	P1P2	0.002060118	0.514025623	4	4
DOPEY1	P1P2	0.911605885	0.015105142	5	5
DOPEY2	P1P2	0.166828151	-0.224908647	5	5
DOT1L	P1P2	0.041742982	-0.211897013	5	5
DPAGT1	P1P2	0.952588509	-0.000268452	5	5
DPCD	P1P2	0.427840759	0.097396822	5	5
DPCR1	P1P2	0.764243958	-0.050978073	4	4
DPEP1	P2	0.512562335	-0.123297715	5	5
DPEP2	P2	0.059018454	0.229755278	5	5
DPEP3	P1P2	0.832394226	0.00094408	5	5
DPF1	P2	0.164543544	-0.184097021	5	5
DPF2	P1	0.004761684	-0.537075428	5	5
DPF3	P1P2	0.195841364	0.148929647	5	5
DPH1	P1	0.002083827	0.66097391	5	5
DPH2	P1P2	0.00054918	1.043725986	5	5
DPH3	P1P2	0.282468466	0.205984497	5	5
DPH5	P1P2	0.111754235	-0.360843857	5	5
DPH6	P1P2	0.859739019	-0.000296991	5	5
DPH7	P1P2	0.599492945	0.058077459	5	5
DPM1	P1P2	0.164039068	-0.20209693	5	5
DPM2	P1P2	0.186523951	0.173198209	5	5
DPM3	P1P2	0.203123874	0.153090318	5	5
DPP10	P1P2	0.930091651	-0.116461489	5	5
DPP3	P1P2	0.659109972	0.038135784	5	5
DPP4	P1P2	0.56921874	0.046246364	5	5
DPP6	ENST00000377770.3	0.90633257	0.028677753	5	5
DPP7	P1	0.717244304	-0.08011731	5	5
DPP8	P1P2	0.780892109	-0.034292623	5	5
DPP9	P2	0.062798653	0.287089909	5	5
DPPA2	P1P2	0.406362315	-0.139831319	5	5
DPPA3	P1P2	0.010319208	-0.294500067	5	5
DPPA4	P1P2	0.600071104	0.11571853	5	5
DPPA5	P1P2	0.336619045	0.104981577	5	5
DPRX	ENST00000376650.1	0.482522024	-0.089587446	5	5
DPT	P1P2	0.46456138	-0.150936673	5	5
DPY19L1	ENST00000310974.4	0.546864749	-0.049154238	5	5
DPY19L2	P1P2	0.403547964	-0.075233587	5	5
DPY19L3	P1P2	0.876098125	-0.023345643	5	5
DPY19L4	P1P2	0.182944806	0.152359307	5	5
DPY30	P1P2	0.012412316	-0.476183794	4	4
DPYD	P1P2	0.782807705	-0.040372118	5	5
DPYS	P1P2	0.653701222	-0.073437982	5	5
DPYSL2	P1P2	0.974460056	-0.023541698	5	5
DPYSL3	P1P2	0.023022089	0.474994841	5	5
DPYSL4	P1P2	0.999004768	-0.162538688	5	5
DPYSL5	P1P2	0.786642839	-0.056203078	5	5
DQX1	P1P2	0.073331274	0.348706996	5	5
DR1	P1P2	0.154192701	-0.258258124	5	5
DRAM1	P1P2	0.207287238	-0.254699319	5	5
DRAM2	P1P2	0.901063381	-0.079767171	5	5
DRAP1	P1P2	0.843439896	-0.124349521	5	5
DRAXIN	P1P2	0.958550631	0.045587854	5	5
DRC1	P1P2	0.544653484	0.092268213	5	5
DRD1	P1P2	0.204307143	-0.150575533	5	5
DRD2	P1P2	0.282841016	0.212187513	5	5
DRD3	P1P2	0.109524008	0.087340022	5	5
DRD4	P1P2	0.899088546	-0.014389931	5	5
DRD5	P1P2	0.710420565	0.012991289	5	5
DRG1	P1P2	0.540244322	0.061895053	5	5
DRG2	P1P2	0.348886256	0.159775175	5	5
DRGX	P1P2	0.781530493	0.024253972	5	5
DROSHA	P1P2	0.021750986	-0.457505909	5	5
DRP2	P1P2	0.388736264	0.115241024	5	5
DSC1	P1P2	0.15250331	-0.318412444	4	4
DSC2	P1P2	0.331211126	-0.134674973	5	5
DSC3	P1P2	0.198731066	0.191089312	5	5
DSCAM	P1P2	0.555754011	-0.100359912	5	5
DSCAML1	P1	0.625166546	0.329150933	5	5
DSCC1	P1P2	0.613437757	-0.028561694	5	5
DSCR3	P1P2	0.977112787	-0.117293173	5	5
DSCR4	P1P2	0.244503842	-0.406876613	3	3
DSE	P2	0.314125701	0.137909462	5	5
DSEL	P1P2	0.403080042	-0.227906333	5	5
DSG1	P1P2	0.454969273	-0.176490738	5	5
DSG2	P1P2	0.508821387	0.146085322	5	5
DSG3	P1P2	0.032286142	0.213738528	5	5
DSG4	P1P2	0.753586577	-0.060470738	5	5
DSN1	P1P2	0.003975411	0.881948184	5	5
DSP	P1P2	0.816211133	0.031816391	5	5
DSPP	ENST00000399271.1	0.145490808	-0.164638605	5	5
DST	ENST00000370754.5	0.227428827	-0.175603871	5	5
DSTN	P1P2	0.388278795	-0.118442565	5	5
DSTYK	P1P2	0.37426039	0.183189825	5	5
DTD1	P1P2	0.509888767	-0.057303327	5	5
DTD2	P1P2	0.483559621	-0.153355401	5	5
DTHD1	P1P2	0.27765559	-0.152822215	5	5
DTL	P1P2	0.078267648	0.396242561	5	5
DTNA	P1P2	0.794328568	-0.033204626	5	5
DTNB	P1P2	0.728459032	-0.045193118	5	5
DTNBP1	P1P2	0.533541567	0.029400732	4	4
DTWD1	P1P2	0.490333425	0.080160218	5	5
DTWD2	P1P2	0.065306875	-0.235965667	5	5
DTX1	P1P2	0.138051466	0.207574021	5	5
DTX2	P1P2	0.394713168	-0.144220776	5	5
DTX3	P1P2	0.387364843	-0.172062758	5	5
DTX3L	P1P2	0.385996377	-0.155421878	5	5
DTX4	P1P2	0.178609899	0.229512529	5	5
DTYMK	P1P2	0.01209944	0.332383652	5	5
DUOX1	P1P2	0.985735757	0.110108704	5	5
DUOX2	P1P2	0.332039436	-0.066002135	5	5
DUOXA1	P1P2	0.039380509	-0.250101269	5	5
DUOXA2	P1P2	0.021750986	-0.824984872	5	5
DUPD1	P1P2	0.054796456	-0.424319972	5	5
DUS1L	P1P2	0.103219729	-0.249594859	5	5
DUS2	P1P2	0.293789903	-0.113374834	5	5
DUS3L	P1P2	0.174879946	0.276951324	5	5
DUS4L	P1P2	0.161775104	-0.190162724	4	4
DUSP1	P1P2	0.738476799	0.222398017	5	5
DUSP10	P1P2	0.001716228	-0.407197625	5	5
DUSP11	P1P2	0.32791126	0.216473283	5	5
DUSP12	P1P2	0.887909967	0.104570384	5	5
DUSP13	P1P2	0.844741457	-0.036347702	5	5
DUSP14	P1	0.12589666	0.10243745	5	5
DUSP15	P1P2	0.868238701	0.074414463	5	5
DUSP16	P1P2	0.923484736	-0.046585176	5	5
DUSP18	P1P2	0.996350826	-0.004408143	5	5
DUSP19	P1P2	0.834341124	-0.015931488	5	5
DUSP2	P1P2	0.949939508	-0.015261081	5	5
DUSP21	P1P2	0.444993947	-0.134489139	5	5
DUSP22	P1P2	0.920843421	0.023339985	5	5
DUSP23	P1P2	0.889881103	0.045627879	5	5
DUSP26	P1P2	0.940010922	-0.013104572	5	5
DUSP27	P1P2	0.900405034	-0.119424416	5	5
DUSP28	P1P2	0.246885828	0.206928845	5	5
DUSP3	P1P2	0.425905209	0.089101482	5	5
DUSP4	P1P2	0.05406598	-0.293660599	5	5
DUSP5	P1P2	0.495578565	0.060388277	5	5
DUSP6	P1P2	0.501382638	0.004453728	5	5
DUSP7	P2	0.22615043	-0.335668917	5	5
DUSP8	P1P2	0.221716444	0.153970605	5	5
DUSP9	P1	0.000129145	-0.924171117	5	5
DUT	P1P2	0.056604791	0.331288072	5	5
DUXA	ENST00000554048.2	0.18596997	0.296408304	5	5
DVL1	P1P2	0.469654705	0.10957405	5	5
DVL2	P1P2	0.267479971	0.130528561	5	5
DVL3	P1P2	0.882000766	-0.133193418	5	5
DXO	P1P2	0.20135834	0.303133541	5	5
DYDC1	P1P2	0.078549636	-0.325102385	5	5
DYDC2	P1P2	0.464053743	-0.122369363	5	5
DYM	P1P2	0.359686413	0.067583291	5	5
DYNAP	P1P2	0.992369999	-0.027255344	5	5
DYNC1H1	P1P2	0.641151726	0.098572968	5	5
DYNC1I1	P1P2	0.859085856	-0.047493823	5	5
DYNC1I2	P1P2	0.053446342	0.508727923	5	5
DYNC1LI1	P1P2	0.893167837	-0.013797272	5	5
DYNC1LI2	P1P2	0.08347119	0.534425825	5	5
DYNC2H1	P1P2	0.407773873	-0.292793632	5	5
DYNC2LI1	P1P2	0.294938557	-0.104093941	5	5
DYNLL1	P1P2	0.248927934	-0.369546774	5	5
DYNLL2	P1P2	0.33536605	0.212606569	5	5
DYNLRB1	P1	0.093899585	0.434998668	5	5
DYNLRB2	P1P2	0.668769533	-0.124004703	5	5
DYNLT1	P1P2	0.581126687	-0.117967945	5	5
DYNLT3	P1P2	0.80718225	-0.042353382	5	5
DYRK1A	ENST00000398960.2	0.334949053	0.315270041	5	5
DYRK1B	P1P2	0.842789275	-0.144343195	5	5
DYRK2	P1P2	0.5585463	0.099776074	5	5
DYRK3	P1P2	0.157342252	-0.205295286	5	5
DYRK4	P1P2	0.786003288	-0.002206082	5	5
DYSF	P2	0.198882762	0.219036332	4	4
DYTN	ENST00000452335.2	0.120239546	-0.188930214	5	5
DYX1C1	ENST00000321149.3	0.144573051	-0.377769438	5	5
DZANK1	P1P2	0.995023869	-0.005843105	5	5
DZIP1	P1P2	0.221402131	0.138050396	5	5
DZIP1L	P1P2	0.466086142	-0.103312011	5	5
DZIP3	P1P2	0.099920231	-0.216200577	5	5
E2F1	P1P2	0.247225361	0.120810827	5	5
E2F2	P1P2	0.443508479	0.08772078	5	5
E2F3	P2	0.017296714	0.319921701	5	5
E2F4	P1P2	0.436123773	0.109761011	5	5
E2F5	P1P2	0.955900492	0.095319197	5	5
E2F6	P1P2	0.669980884	-0.096869593	5	5
E2F7	P1P2	0.075083635	0.355517263	5	5
E2F8	P1P2	0.273627018	-0.126141419	5	5
E4F1	P1P2	0.001369096	0.592294449	5	5
EAF1	P1P2	0.677266931	-0.04198856	5	5
EAF2	P1P2	0.1210353	0.191100166	5	5
EAPP	P1P2	0.445985832	0.16591853	5	5
EARS2	P1P2	0.459498936	0.107133098	5	5
EBAG9	P1P2	0.656102887	-0.124014143	5	5
EBF1	P1P2	0.565837994	-0.095996405	5	5
EBF2	P1P2	0.801391424	0.081988626	5	5
EBF3	P1P2	0.489810558	0.125716254	5	5
EBF4	P1P2	0.155882607	-0.264677384	5	5
EBI3	P1P2	0.553525097	0.030277625	5	5
EBLN1	ENST00000422359.2	0.062681228	-0.362978374	5	5
EBLN2	P1P2	0.284708759	0.026306866	5	5
EBNA1BP2	P1P2	0.372474644	0.274381413	5	5
EBP	P2	0.415827739	-0.114042911	5	5
EBPL	P1P2	0.453464993	-0.047094511	5	5
ECD	P1P2	0.165555999	-0.235859196	5	5
ECE1	P1P2	0.762444814	-0.063127073	5	5
ECE2	P1P2	0.775790378	0.030051367	5	5
ECEL1	P1P2	0.137830695	0.143473077	5	5
ECH1	P1P2	0.278761266	-0.13889693	5	5
ECHDC1	P1P2	0.286961041	-0.179092873	5	5
ECHDC2	P1P2	0.949277344	0.0138995	5	5
ECHDC3	P1P2	0.557428566	0.091269331	5	5
ECHS1	P1P2	0.363625334	-0.143261683	5	5
ECI1	P1P2	0.424456906	-0.096350014	5	5
ECI2	P1P2	0.010645197	-0.28543311	5	5
ECM1	P1P2	0.509974518	-0.079334551	4	4
ECM2	P1P2	0.435524913	0.063859996	4	4
ECSCR	P1P2	0.996350826	0.009469262	5	5
ECSIT	P1P2	0.42978142	-0.14282142	5	5
ECT2	P1P2	0.089892395	0.369241273	5	5
ECT2L	P1P2	0.336201045	0.071717886	5	5
EDA	P1P2	0.236851403	0.132058635	5	5
EDA2R	P1P2	0.063152018	0.309935314	5	5
EDAR	P1P2	0.675442553	0.093350224	5	5
EDARADD	P1	0.25443119	-0.145579968	5	5
EDC3	P1P2	0.931413627	-0.008117745	5	5
EDC4	P1P2	0.052832647	0.275105341	5	5
EDDM3A	P1P2	0.86693004	0.090197825	5	5
EDDM3B	P1P2	0.81363046	-0.042416551	4	4
EDEM1	P1P2	0.857779822	-0.057167844	5	5
EDEM2	ENST00000374492.3	0.329146201	-0.137162092	5	5
EDEM3	P1P2	0.566400782	0.05875071	5	5
EDF1	P1P2	0.000670186	0.665233374	5	5
EDIL3	P1P2	0.749800018	0.102719322	5	5
EDN1	P1P2	0.916223239	0.11322155	5	5
EDN2	P1P2	0.407773873	-0.060133918	5	5
EDN3	P1P2	0.618117633	0.254904915	5	5
EDNRA	P1P2	0.749800018	-0.182627637	5	5
EDNRB	P1P2	0.338294382	-0.009464131	5	5
EEA1	P1P2	0.760543955	-0.083941438	5	5
EED	P1P2	0.053138754	0.553891365	5	5
EEF1A1	P1P2	0.524412271	-0.00330015	5	5
EEF1A2	P1P2	0.037512135	-0.480764497	5	5
EEF1B2	P1P2	0.095707548	-0.38561325	5	5
EEF1D	P1P2	0.573175091	-0.053278228	5	5
EEF1E1	P1P2	0.485118285	-0.08175515	5	5
EEF1G	P1P2	0.018256143	0.384321929	5	5
EEF2	P2	0.084664775	-0.449755954	5	5
EEF2K	P1P2	0.835639622	0.056889933	5	5
EEFSEC	P1P2	0.029200818	0.650422942	5	5
EEPD1	P1P2	0.565837994	0.037601908	5	5
EFCAB1	P1P2	0.733462242	0.05042449	5	5
EFCAB11	P1P2	0.772606688	-0.065642949	5	5
EFCAB12	P1P2	0.360122742	0.106335723	5	5
EFCAB13	P1P2	0.525496456	-0.329569769	5	5
EFCAB14	P1P2	0.981092348	0.176960017	5	5
EFCAB2	P1P2	0.061632557	0.372177379	5	5
EFCAB3	P1P2	0.141395813	-0.224371918	5	5
EFCAB4A	P1P2	0.917414845	0.026476105	4	4
EFCAB4B	P1P2	0.894483047	-0.147646054	5	5
EFCAB5	P1P2	0.244181317	-0.156767701	5	5
EFCAB6	P1P2	0.048226221	-0.267028429	5	5
EFCAB7	P1P2	0.346751201	-0.206919088	5	5
EFCAB8	P1P2	0.094226253	-0.327252675	5	5
EFCAB9	P1P2	0.9004172	0.010091423	3	3
EFCC1	P1P2	0.789202481	-0.084670052	5	5
EFEMP1	P1P2	0.709801365	-0.036209033	5	5
EFEMP2	P1P2	0.993033459	-0.007708968	5	5
EFHB	P1P2	0.99037965	0.104155436	5	5
EFHC1	P1P2	0.878064923	-0.093466407	5	5
EFHC2	P1P2	0.58226683	-0.122040406	5	5
EFHD1	P1P2	0.084365092	0.236436905	5	5
EFHD2	P1P2	0.934719387	0.231045175	5	5
EFNA1	P1P2	0.225434237	-0.169481431	4	4
EFNA2	P1P2	0.136511785	0.236604647	5	5
EFNA3	P2	0.084514826	-0.255921148	5	5
EFNA4	P1P2	0.207887022	-0.193388095	5	5
EFNA5	ENST00000333274.6	0.648310602	-0.005029871	5	5
EFNB1	P1P2	0.513097924	0.041884657	5	5
EFNB2	P1P2	0.092119115	-0.162840954	5	5
EFNB3	P1P2	0.391947721	-0.204799886	5	5
EFR3A	P1P2	0.372920585	0.062854733	5	5
EFR3B	P1P2	0.463507729	-0.066478119	3	3
EFS	P1P2	0.048890119	0.269922197	5	5
EFTUD1	P1P2	0.042584969	0.245223187	5	5
EFTUD2	P1P2	0.000506744	0.514740228	5	5
EGF	P1P2	0.184040618	-0.195386249	5	5
EGFL6	P1P2	0.590276923	0.044613743	5	5
EGFL7	P1	0.202153012	-0.291539581	4	4
EGFL8	P1P2	0.196705022	-0.209320562	5	5
EGFLAM	ENST00000322350.5	0.323816532	-0.356655277	5	5
EGFR	P1P2	0.160045136	-0.265500568	5	5
EGLN1	P1P2	0.235864048	0.053172443	5	5
EGLN2	P2	0.326269354	0.061751551	5	5
EGLN3	P1P2	0.975123214	0.001274466	5	5
EGR1	P2	0.169911275	-0.287162536	5	5
EGR2	P1P2	0.434166555	-0.1442085	5	5
EGR3	P1P2	0.091478434	-0.251268005	5	5
EGR4	P1P2	0.779615782	0.000891212	5	5
EHBP1	P1P2	0.638178632	-0.084473549	5	5
EHBP1L1	P1P2	0.60644743	1.204744348	5	5
EHD1	P1P2	0.587410354	-0.130666507	5	5
EHD2	P1P2	0.91820298	-0.10510505	5	5
EHD3	P1P2	0.172774814	-0.170673019	5	5
EHD4	P1P2	0.874132092	-0.143050854	5	5
EHF	P1P2	0.000332465	-0.543274623	5	5
EHHADH	P1P2	0.93934933	0.066416908	5	5
EHMT1	P1P2	0.679093204	0.24132939	5	5
EHMT2	P1P2	0.715381018	0.157259288	5	5
EI24	P1P2	0.236851403	-0.062047818	5	5
EID1	P1P2	0.975786388	0.103597427	5	5
EID2	P1P2	0.611103697	0.048125187	5	5
EID2B	P1P2	0.583979	0.183553452	5	5
EID3	P1P2	0.669980884	-0.026984369	5	5
EIF1	P1P2	0.408245041	0.129933565	5	5
EIF1AD	P1P2	0.222031077	-0.167499587	5	5
EIF1AX	P1P2	0.187635567	-0.243819679	5	5
EIF1AY	P1P2	0.026542224	-0.253623862	5	5
EIF1B	P1P2	0.260018526	0.151784865	5	5
EIF2A	P1P2	0.394251442	-0.165320433	5	5
EIF2AK1	P1P2	0.091318825	-0.401130828	5	5
EIF2AK2	P1P2	0.25098182	0.155690449	5	5
EIF2AK3	P1P2	0.080980063	-0.294875459	5	5
EIF2AK4	P1P2	0.007098792	-0.292806161	5	5
EIF2B1	P1P2	0.848648673	-0.091404467	5	5
EIF2B2	P1P2	0.023835968	0.210528493	5	5
EIF2B3	P1P2	0.000189623	0.721896271	5	5
EIF2B4	P1P2	0.021703342	0.639206145	5	5
EIF2B5	P1P2	0.010850329	0.441183806	5	5
EIF2D	P1P2	0.480450463	-0.157616121	5	5
EIF2S1	P1P2	0.01943409	0.545877205	5	5
EIF2S2	P1P2	0.248245923	0.261782255	5	5
EIF2S3	P1P2	0.478899979	-0.064634715	5	5
EIF3A	P1P2	0.414399682	-0.057034277	5	5
EIF3B	P1P2	0.027992178	-0.379420091	5	5
EIF3C	P1P2	0.005729796	0.63499985	5	5
EIF3CL	"ENST00000380876.4,ENST00000398943.3,ENST00000398944.3"	0.01215653	0.548299839	5	5
EIF3D	P1P2	0.586265532	0.13632556	5	5
EIF3E	P1P2	0.47016573	-0.060902469	5	5
EIF3F	P1P2	0.377847734	0.151964698	5	5
EIF3G	P1P2	0.754218249	0.216900444	5	5
EIF3H	P1P2	0.000184065	0.847197035	5	5
EIF3I	P1P2	0.894483047	-0.061376393	5	5
EIF3J	P1P2	0.541895663	-0.065778117	5	5
EIF3K	P1P2	0.508288136	0.250533872	5	5
EIF3L	P1P2	0.004124695	0.431830032	5	5
EIF3M	P1P2	0.62046341	0.120320517	5	5
EIF4A1	P1P2	0.308561726	0.085879605	5	5
EIF4A2	P1	0.124667288	0.292624952	5	5
EIF4A3	P1P2	0.298789113	0.092777478	5	5
EIF4B	P1P2	0.780253871	0.173173773	5	5
EIF4E	P1P2	0.001194578	1.01232917	5	5
EIF4E1B	P1P2	0.248927934	0.176001897	5	5
EIF4E2	P1P2	0.04361427	-0.296601547	5	5
EIF4E3	P1P2	0.676658594	0.066569228	5	5
EIF4EBP1	P1P2	0.963852252	0.095816635	5	5
EIF4EBP2	P1P2	0.444498476	-0.119013676	5	5
EIF4EBP3	P1P2	0.445985832	-0.107029938	5	5
EIF4ENIF1	P1P2	0.643534354	-0.026205472	5	5
EIF4G1	P1P2	0.614021886	-0.083863433	5	5
EIF4G2	P1	0.000193415	1.124001206	5	5
EIF4G3	P2	0.112129399	-0.2696484	5	5
EIF4H	P1P2	0.048604658	0.159106547	5	5
EIF5	P2	0.045197573	-0.350923325	5	5
EIF5A	P1P2	0.866275846	-0.0056976	5	5
EIF5A2	P1P2	0.674227359	-0.067171879	5	5
EIF5AL1	P1P2	0.848648673	-0.039331944	5	5
EIF5B	P1P2	0.051224858	-0.461097184	5	5
EIF6	P1P2	0.00015227	0.995908553	5	5
ELAC1	P1P2	0.504032705	0.134298776	5	5
ELAC2	P1P2	0.98507238	-0.000229716	5	5
ELANE	P1P2	0.091958608	0.208597578	5	5
ELAVL1	P1P2	0.84734585	-0.045190024	5	5
ELAVL2	P2	0.569783134	-0.07911889	5	5
ELAVL3	P2	0.575441703	0.126817293	5	5
ELAVL4	P1P2	0.474264964	-0.154326575	5	5
ELF1	P1P2	0.168878857	-0.185943879	5	5
ELF2	P1P2	0.400745317	-0.110927959	5	5
ELF3	P1P2	0.068779115	-0.297926989	5	5
ELF4	P1P2	0.478383759	-0.087323301	5	5
ELF5	P1P2	0.26072287	0.225411917	5	5
ELFN1	ENST00000561626.1	0.565837994	0.262836165	5	5
ELFN2	P1P2	0.103219729	-0.198548583	5	5
ELK1	P1P2	0.064221985	-0.280996834	5	5
ELK3	P1P2	0.84734585	-0.033716914	5	5
ELK4	P1P2	0.183492106	-0.163864106	5	5
ELL	P1P2	0.01280045	0.4081961	5	5
ELL2	P1P2	0.883313366	-0.132148369	5	5
ELL3	P1P2	0.237841675	-0.191834096	5	5
ELMO1	P1P2	0.577712542	-0.097380164	5	5
ELMO2	P1P2	0.773482284	0.035944174	4	4
ELMO3	P1P2	0.412974531	-0.139062428	5	5
ELMOD1	P1P2	0.735341382	-0.029827268	5	5
ELMOD2	P1P2	0.692542882	-0.14611568	5	5
ELMOD3	P1P2	0.936703387	-0.012285955	5	5
ELMSAN1	P1	0.440053428	-0.081019148	5	5
ELN	P1P2	0.580557008	0.075843768	5	5
ELOF1	P1P2	0.000791477	-1.327492377	5	5
ELOVL1	P1P2	0.963189457	0.029271809	5	5
ELOVL2	P1P2	0.747908991	0.053038211	5	5
ELOVL3	P1P2	0.966503677	0.062442025	5	5
ELOVL4	P1P2	0.768155954	0.116995137	5	5
ELOVL5	P1P2	0.1506184	0.285946048	5	5
ELOVL6	P1P2	0.719731303	0.086037757	5	5
ELOVL7	P1P2	0.169652728	0.102141125	5	5
ELP2	P1P2	0.257563702	0.153417497	5	5
ELP3	P1P2	0.111193347	0.366427456	5	5
ELP4	P1P2	0.071612509	0.674292436	5	5
ELP5	P1P2	0.004724766	0.386693754	5	5
ELP6	P1P2	0.308561726	-0.265897774	5	5
ELSPBP1	P1P2	0.992369999	-0.289337028	5	5
ELTD1	P1P2	0.784085502	-0.047928743	5	5
EMB	P1P2	0.199859751	0.162077789	4	4
EMC1	P1P2	0.317737175	-0.106571357	5	5
EMC10	P1P2	0.910287182	-0.08966462	5	5
EMC2	P1P2	0.075083635	-0.384819065	5	5
EMC3	P2	0.624577814	0.009302849	5	5
EMC4	P1P2	0.107147789	-0.365089821	5	5
EMC6	P1P2	0.528755877	-0.106483367	5	5
EMC7	P1P2	0.650105446	-0.076255368	5	5
EMC8	P1P2	0.339554392	0.073022101	5	5
